,author,title,text,date,text_type
10,Fernando Pessoa,[Carta a Ophélia Queiroz - 29 Set. 1929],"
Ophelinha pequena:

Como não quero que diga que eu não lhe escrevi, por efectivamente não ter escrito, estou escrevendo. Não será uma linha, como prometi, mas não serão muitas. Estou doente, principalmente por causa da série de preocupações e arrelias que tive ontem. Se não quer acreditar que estou doente, evidentemente não acreditará. Mas peço o favor de me não dizer que não acredita. Bem me basta estar doente; não é preciso ainda vir duvidar disso, ou pedir-me contas da minha saúde como se estivesse na minha vontade, ou eu tivesse obrigação de dar contas a alguém de qualquer coisa.
O que lhe disse de ir para Cascais (Cascais quer dizer um ponto qualquer fora de Lisboa, mas perto, e pode querer dizer Sintra ou Caxias) é rigorosamente verdade: verdade, pelo menos, quanto à intenção. Cheguei à idade em que se tem o pleno domínio das próprias qualidades, e a inteligência atingiu a força e a destreza que pode ter. É pois a ocasião de realizar a minha obra literária, completando umas coisas, agrupando outras, escrevendo outras que estão por escrever. Para realizar essa obra, preciso de sossego e um certo isolamento. Não posso, infelizmente, abandonar os escritórios onde trabalho (não posso, é claro, porque não tenho rendimentos), mas posso, reservando para o serviço desses escritórios dois dias da semana (quartas e sábados), ter de meus e para mim os cinco dias restantes. Aí tem a célebre história de Cascais.
Toda a minha vida futura depende de eu poder ou não fazer isto, e em breve. De resto, a minha vida gira em torno da minha obra literária — boa ou má, que seja, ou possa ser. Tudo o mais na vida tem para mim um interesse secundário: há coisas, naturalmente, que estimaria ter, outras que tanto faz que venham ou não venham. É preciso que todos, que lidam comigo, se convençam de que sou assim, e que exigir-me os sentimentos, aliás muito dignos, de um homem vulgar e banal, é como exigir-me que tenha olhos azuis e cabelo louro. E estar a tratar-me como se eu fosse outra pessoa não é a melhor maneira de manter a minha afeição. É preferível tratar assim quem seja assim, e nesse caso é «dirigir-se a outra pessoa» ou qualquer frase parecida.
Gosto muito — mesmo muito — da Ophelinha. Aprecio muito — muitíssimo — a sua índole e o seu carácter. Se casar, não casarei senão consigo. Resta saber se o casamento, o lar (ou o que quer que lhe queiram chamar) são coisas que se coadunem com a minha vida de pensamento. Duvido. Por agora, e em breve, quero organizar essa vida de pensamento e de trabalho meu. Se a não conseguir organizar, claro está que nunca sequer pensarei em pensar em casar. Se a organizar em termos de ver que o casamento seria um estorvo, claro que não casarei. Mas é provável que assim não seja. O futuro — e é um futuro próximo — o dirá.
Ora aí tem, e, por acaso é a verdade.
Adeus, Ophelinha. Durma e coma, e não perca gramas.
Seu muito dedicado,


Fernando


29/9/1929
Domingo
",29-9-1929,prose
11,Fernando Pessoa,A virtude principal da literatura - o não ser música…,"
A virtude principal da literatura - o não ser música - é ao mesmo tempo o seu principal defeito. Tem que ser composta e expressa em uma língua qualquer. Tem, portanto, por mais largamente que essa língua seja falada ou conhecida, que se não dirigir plenariamente à maioria do género humano. Aquilo por onde é mais explícita que qualquer outra arte, por isso mesmo é menos universal que ela.
Ocorre, pois, perguntar por que processo, em literatura, é alguém universalmente célebre, como, ainda que poucos, há relativamente tantos que o são; porque processo são célebres no espaço, e sobretudo no espaço e no tempo, quando forçosamente, e mormente na poesia, que é a espécie literária mais alta, nenhuma tradução, supondo que existe, pode dar conhecimento da obra em sua completa e verdadeira vida.
Porque o certo é que, a maioria de nós, não mentimos nem fingimos quando, ignorantes do grego, sofremos o entusiasmo de Homero, ou, hóspedes e peregrinos no latim, temos o culto de Horácio ou de Catulo. Não mentimos nem fingimos; pressentimos. E esse pressentimento, feito de não sei que misto de intuição, de sugestão e de entendimento obscuro, é uma espécie de tradutor invisível, que acompanha pelas eras fora, e torna universal como a música, a arte dada em linguagem, esse produto de Babel, com cuja queda o homem pela segunda vez caiu.
O que há de mais alto neste mundo fala, quer queira quer não, uma linguagem simbólica, entendida por poucos com a verdadeira chave hermética, a inteligência, entendida por mais com o instinto de que há que entender, que é a intuição. São os primeiros, para o caso da obra literária, os que conhecem como naturais a língua em que ela está escrita; são os segundos os que a não conhecem assim, ou de todo a não conhecem, mas que, não conhecendo a língua, conhecem todavia a obra. 
Mas há mais, e mais estranho. Podemos, por intuição, ou o que quer que seja, figurar-nos a alma e a vida de uma obra poética de que não conhecemos nada, ou, no melhor, não conhecemos mais que uma tradução em prosa, que é outra forma, mais complicada, do mesmo nada. Muitos de nós, porém, nos figuramos, com razoável exactidão, a alma e a vida de obras que nunca lemos, por vagas reminiscências de referencias, por obscuras e casuais alusões, ou de obras, ainda, em idiomas estranhos, e de que não há, ou pelo menos nunca lemos, tradução em idioma que no-lo não seja. Aqui o tradutor invisível opera invisivelmente. Já não intuicionamos: adivinhamos. E como se houvesse em nós uma parte superior da alma que soubesse por condição todos os idiomas e tivesse lido por natureza todas as obras.
Afinal, que é uma obra literária senão a projecção em linguagem de um estado de espírito, ou de uma alma humana? E essa obra é o símbolo vivo da alma que a escreveu (compôs), ou do momento dessa alma - uma pequena alma ocasional - que a projectou. Porque não haverá de alma para alma uma comunicação oculta, um entendimento sem palavras, pelo qual adivinhemos a sombra visível pelo conhecimento do corpo invisível que a projecta, e entendemos o símbolo, não por o conhecermos visto, mas por sabermos aquilo de que é símbolo?
Quem sabe, até, se em qualquer estado antenatal, não vimos frente a frente a obra em seu espírito, que não no corpo verbal que aqui tem; que, ouvindo aqui só falar nela, desde logo sabemos de que se trata, na sua verdadeira essência e vida; e que, pois, lendo mal, ou nem sequer lendo, não é em nós suscitado, não um entendimento, ainda que intuitivo, mas uma funda e subtil recordação?
Quem sabe, ainda, se, nesse estado antenatal, livres ainda do espaço e do tempo, não vimos já tudo, aqui hoje passado ou aqui hoje futuro, sub specie aeternitatis; e assim, se pudermos dispertar em nós essa anamnesis, não estamos hoje, nós mesmos nossos tradutores invisíveis, senhores inconscientes das obras ainda por nascer no decurso futuro do mundo?
Não sorrio por isso - ou, melhor, não sorrio sempre, nem prontamente - dos que me falam de Shakespeare sem que saibam o inglês - e escolho Shakespeare para exemplo porque ele é dos poetas mais fielmente casados com a índole e as possibilidades do idioma em que compôs, e, como bom marido, com as maneiras e formas de enganar esse idioma. Não sorrio. Quem sabe se, em qualquer incamação anterior, o que me fala não conheceu Shakespeare como aqui foi, não falou com ele como aqui falou, e não está sendo, sem que ele ou eu o saiba, o tradutor invisível de um grande amigo ignorado?
",s.d.,prose
12,Fernando Pessoa,Quaisquer que sejam os defeitos que se possam apontar...,"
Quaisquer que sejam os defeitos, que se possam apontar com razão ou sem ela, ao fascismo, não pode ele ser acusado de plágio ou de subserviência a um mestre ou a um modelo. Bom ou mau, é gente. E isto o afirma um fenómeno da civilização, que não um espectáculo dos arredores e das províncias.
A hipnose do estrangeiro é um dos característicos distintivos das nações que não são senão províncias. A hipnose das cidades é outro sintoma de provincianismo. Tudo que se faz em Paris, por estúpido que seja, é motivo de gesto igual para os macacos da Europa.
Quando foi da guerra, como em França se constituísse uma coisa a que se chamou Union Sacrée, logo que os idiotas de cá simularam a mesma atitude não puderam deixar de simular também o mesmo nome — chamaram-lhe União Sagrada. Não tiveram invenção para mais. E, como houvesse uma (...), a idiotice correspondente passou a chamar-se Cruzada das Mulheres Portuguesas, como se não houvesse dicionário. Do mesmo modo, os parvos que arreatam a nossa proletariedade, como encontraram uma Confédération Générale du Travail já baptizada em França, não levaram a imaginação além de traduzir esse nome. Não queríamos que esses pseudo-homens buscassem conscientemente um nome português que para eles isto é a ""região portuguesa"" daquilo a que — com a ingenuidade natural em quem não sabe ler, mesmo não sendo analfabeto —, chamam a ""humanidade"". Mas gostávamos de ver o cérebro — até o cérebro deles — usado para mais que para equilibrar pelo peso o cabide natural do chapéu.
Com razão repugna à ciência a descrição teológica do homem como ""animal racional"". Para a maioria dos homens o cérebro é uma nova espécie de intestino cego, inútil salvo para custarem caras as operações da apendicite.
",s.d.,prose
13,Fernando Pessoa,Pela rua já serena,"
Pela rua já serena
Vai a noite
Não sei de que tenho pena,
Nem se é penar isto que tenho...

Pobres dos que vão sentindo
Sem saber do coração!
Ao longe, cantando e rindo,
Um grupo vai sem razão...

E a noite e aquela alegria
E o que medito a sonhar
Formam uma alma vazia
Que paira na orla do ar...
",18-6-1929,poem
14,Fernando Pessoa,Contemplo o lago mudo,"
Contemplo o lago mudo
Que uma brisa estremece.
Não sei se penso em tudo
Ou se tudo me esquece.

O lago nada me diz.
Não sinto a brisa mexê-lo.
Não sei se sou feliz
Nem se desejo sê-lo.

Trémulos vincos risonhos
Na água adormecida.
Por que fiz eu dos sonhos
A minha única vida?
",4-8-1930,poem
15,Fernando Pessoa,Desejava querer fugir de mim.,"
Desejava querer fugir de mim.

ali. ali. ali
e...e...e...
Palavras, não sois nada!
O que é Deus?
Uma palavra,
Pouco mais que um som.
E um som?
Nada.
",s.d.,poem
16,Fernando Pessoa,"Tomara poder desempenhar-me, sem hesitações nem ansiedades,","
Tomara poder desempenhar-me, sem hesitações nem ansiedades, d'este mandato subjectivo cuja execução por demorada ou imperfeita me tortura e dormir descansadamente, fosse onde fosse, plátano ou cedro que me cobrisse, levando n'alma como uma parcela do mundo, entre uma saudade e uma aspiração, a consciência de um dever cumprido.
Mas dia a dia o que vejo em torno meu me aponta novos deveres, novas responsabilidades da m[inha] inteligência para com o meu senso moral. Hora a hora a (...) que escreve as sátiras surge colérica em mim. Hora a hora a expressão me falha. Hora a hora a vontade fraqueja. Hora a hora sinto avançar sobre mim o tempo. Hora a hora me conheço, mãos inúteis e olhar amargurado, levando para a terra fria uma alma que não soube contar, um coração já apodrecido, morto já e na estagnação da aspiração indefinida, inutilizada.
Nem choro. Como chorar? Eu desejaria poder querer (desejar) trabalhar, febrilmente trabalhar para que esta pátria que vós não conheceis fosse grande como o sentimento que eu sinto quando n'ela penso. Nada faço. Nem a mim mesmo ouso dizer: amo a pátria, amo a humanidade. Parece um cinismo supremo. Para comigo mesmo tenho um pudor em dizê-lo. Só aqui lh'o registo sobre papel, acanhadamente ainda assim, para que n'alguma parte fique escrito. Sim, fique aqui escrito que amo a pátria funda, (...) doloridamente.
Seja dito assim sucinto, para que fique dito. Nada mais.
Não falemos mais. As coisas que se amam, os sentimentos que se afagam guardam-se com a chave d'aquilo a que chamamos «pudor» no cofre do coração. A eloquência profana-os. A arte, revelando-os, torna-os pequenos e vis. O próprio olhar não os deve revelar.
Sabeis decerto que o maior amor não é aquele que a palavra suave puramente exprime. Nem é aquele que o olhar diz, nem aquele que a mão comunica tocando levemente n'outra mão. E aquele que quando dois seres estão juntos, não se olhando nem tocando os envolve como uma nuvem, que lhes (...)
Esse amor não se deve dizer nem revelar. Não se pode falar dele.
",s.d.,prose
17,Fernando Pessoa,"Leve sonho, vais no chão","
Leve sonho, vais no chão

Leve sonho, vais no chão
A andares sem teres ser.
És como o meu coração
Que sente sem nada ter.
",s.d.,poem
18,Bernardo Soares,"Passo horas, às vezes no Terreiro do Paço, à beira do rio,","
Passo horas, às vezes no Terreiro do Paço, à beira do rio, meditando em vão. A minha impaciência constantemente me quer arrancar desse sossego, e a minha inércia constantemente me detém nele. Medito, então, em uma modorra de físico, que se parece com volúpia apenas como o sussurro de vento lembra vozes, na eterna insaciabilidade dos meus desejos vagos, na perene instabilidade das minhas ânsias impossíveis. Sofro, principalmente, do mal de poder sofrer. Falta-me qualquer coisa que não desejo e sofro por isso não ser propriamente sofrer.
O cais, a tarde, a maresia entram todos, e entram juntos, na composição da minha angústia. As flautas dos pastores impossíveis não são mais suaves do que não haver aqui flautas e isso lembrar-mas.
Os idílios longínquos, ao pé de riachos, doem-me esta hora análoga por dentro, (...)
",s.d.,prose
19,Alberto Caeiro,"XXXV - O luar através dos altos ramos,","
XXXVO luar através dos altos ramos, Dizem os poetas todos que ele é mais Que o luar através dos altos ramos.  Mas para mim, que não sei o que penso, O que o luar através dos altos ramos É, além de ser O luar através dos altos ramos, É não ser mais Que o luar através dos altos ramos.
",4-3-1914,poem
20,Fernando Pessoa,Passa uma nuvem pelo sol,"
Passa uma nuvem pelo sol
Passa uma pena por quem vê.
A alma é como um girassol:
Vira-se ao que não está ao pé.

Passou a nuvem; o sol volta.
A alegria girassolou.
Pendão latente de revolta,
Que hora maligna te enrolou?
",14-8-1933,poem
21,Bernardo Soares,"Não sei que vaga carícia, tanto mais branda quanto não é carícia,","
L. do D.

Não sei que vaga carícia, tanto mais branda quanto não é carícia, a brisa incerta da tarde me traz à fronte e à compreensão. Sei só que o tédio que sofro se me ajusta melhor, um momento, como uma veste que deixe de roçar numa chaga.
Pobre da sensibilidade que depende de um pequeno movimento do ar para o conseguimento, ainda que episódico, da sua tranquilidade! Mas assim é toda sensibilidade humana, nem creio que pese mais na balança dos seres o dinheiro subitamente ganho, ou o sorriso subitamente recebido, que são para outros o que para mim foi, neste momento, a passagem breve de uma brisa sem continuação.
Posso pensar em dormir. Posso sonhar de sonhar. Vejo mais claro a objectividade de tudo. Uso com mais conforto o sentimento externo da vida E tudo isto, efectivamente, porque, ao chegar quase à esquina, um virar no ar da brisa me alegra a superfície da pele.
Tudo quanto amamos ou perdemos — coisas, seres, significações — nos roça a pele e assim nos chega à alma, e o episódio não é, em Deus, mais que a brisa que me não trouxe nada salvo o alívio suposto, o momento propício e o poder perder tudo esplendidamente.
",23-4-1930,prose
22,Ricardo Reis,XIV - De novo traz as aparentes novas,"
De novo traz as aparentes novas
Flores o Verão novo, e novamente
Verdesce a cor antiga
Das folhas redivivas.
Não mais, não mais dele o infecundo abismo,
Que mudo sorve o que mal somos, torna
À clara luz superna
A presença vivida.
Não mais; e a prole a que, pensando, dera
A vida da razão, em vão o chama,
Que as nove chaves fecham
Da Estige irreversível.
O que foi como um deus entre os que cantam,
O que do Olimpo as vozes, que chamavam,
Escutando ouviu, e, ouvindo,
Entendeu, hoje é nada.
Tecei embora as, que teceis, grinaldas.
Quem coroais, não coroando a ele?
Votivas as deponde,
Fúnebres sem ter culto.
Fique, porém, livre da leiva e do Orco,
A fama; e tu, que Ulisses erigira,
Tu, em teus sete montes,
Orgulha-te materna,
Igual, desde ele, às sete que contendem
Cidades por Homero, ou alcaica Lesbos,
Ou heptápila Tebas,
Ogígia mãe de Píndaro.
",22-10-1923,poem
23,Fernando Pessoa,"Rouxinol que não cantaste,","
Rouxinol que não cantaste,

Rouxinol que não cantaste,
Gaio que não cantarás,
Qual de vós me empresta o canto
Para ver o que ela faz?
",s.d.,poem
24,Fernando Pessoa,Ó loura dos olhos tristes,"
Ó loura dos olhos tristes

Ó loura dos olhos tristes
Que me não quis escutar...
Quero só saber se existes
Para ver se te hei-de amar.
",s.d.,poem
25,Fernando Pessoa,"Nay, what is man himself but an inane blind insect buzzing...","
Nay, what is man himself but an inane blind insect buzzing [?] against a closed window; instinctively he feels that beyond the glass a great light and a warmness. But he is blind and cannot see it; neither can he see that there is aught between him and the light. So he struggles lazily [?] towards it. He may get farther away from the but nearer than the glass he cannot get. How will Science help him? He may find out the particular roughnesses and nodosities [?] of the glass he may get to know that here it is thicker, there thinner, here coarser and there finer: with all this, kind philosopher, how nearer is he to the light? How nearer is he to seeing. And yet I believe that the man of genius, the poet, does somehow struggle through the glass into the outer light; he feels warmth and gladness at being so much beyond all men [?] but is even he not still bind? is he any nearer to knowing the eternal Truth?
",1908?,prose
26,Fernando Pessoa,Viajar! Perder países!,"

Viajar! 
Perder países!

Ser outro constantemente,
Por a alma não ter raízes
De viver de ver somente!

Não pertencer nem a mim!
Ir em frente, ir a seguir
A ausência de ter um fim,
E da ânsia de o conseguir!

Viajar assim é viagem.
Mas faço-o sem ter de meu
Mais que o sonho da passagem.
O resto é só terra e céu.
",20-9-1933,poem
27,Bernardo Soares,"Há uma técnica do sonho, como há das diversas realidades,","
L. do D.

Há uma técnica do sonho, como as há das diversas realidades, desde a (…)
",s.d.,prose
28,Bernardo Soares,Escuto-me sonhar.,"
Escuto-me sonhar. Embalo-me com o som das minhas imagens… Soletra-me em recônditas melodias (…)
O som duma frase imageada vale tantos gestos! Uma metáfora consola de tantas coisas!
Escuto-me… São cerimoniais em mim… Cortejos… Lantejoulas no meu tédio… Baile de máscaras…Assisto à minha alma com deslumbramento…
Caleidoscópio de fragmentadas sequências, de (…)

Pompa das sensações demasiado vividas…
Leitos régios em castelos desertos, jóias de princesas mortas, por seteiras de castelos, enseadas avistadas; virão sem dúvida as honras e o poderio, para os mais felizes, haverá cortejos nos exílios… […] adormecidas, fios de (…) bordando sedas…
",s.d.,prose
29,Fernando Pessoa,"É brando o dia, brando o vento.","
É brando o dia, brando o vento.
É brando o sol e brando o céu.
Assim fosse meu pensamento!
Assim fosse eu, assim fosse eu!

Mas entre mim e as brandas glórias
Deste céu limpo e este ar sem mim
Intervêm sonhos e memórias...
Ser eu assim, ser eu assim!

Ah, o mundo é quanto nós trazemos.
Existe tudo quanto existo.
Há porque vemos.
E tudo é isto, tudo é isto!
",15-8-1933,poem
30,Fernando Pessoa,São já onze horas da noite.,"
São já onze horas da noite.

São já onze horas da noite.
Porque te não vais deitar?
Se de nada serve ver-te,
Mais vale não te fitar.
",s.d.,poem
31,Fernando Pessoa,As três formas de tirania:,"
A Tirania

As três formas de tirania:
(a) A Força.
(b) O Número.
(c) O Hábito (o Passado).
(d) (...)

A tirania revolucionária, que é o vivermos sujeitos não aos hábitos de ontem, mas aos hábitos de depois de amanhã; a tradição do passado é má, mas a tradição do futuro ainda é pior.


Ex.:



A tirania é a limitação da personalidade de alguém em virtude de um princípio que ele não aceita e contra o qual não se revolta (e que não tentou substituir).
Se vivemos em monarquia, há tirania se os poderes constituídos prendem os indivíduos que são republicanos só por o serem; mas não há tirania, mas simples defesa, se prendem os que se revoltaram contra a monarquia. Prender  um homem que se manifestar assim por escrito é tirania.
",1918?,prose
